iter	RMSE
0	11.67653638
1	11.33792933
2	11.0063475
3	10.68388973
4	10.36795141
5	10.06433813
6	9.766659454
7	9.478392944
8	9.205987986
9	8.934773062
10	8.67067194
11	8.419145524
12	8.170652212
13	7.930032384
14	7.695899536
15	7.46864963
16	7.250307752
17	7.037479039
18	6.831670412
19	6.630443745
20	6.436248469
21	6.247936935
22	6.064719898
23	5.886997124
24	5.714917915
25	5.547757456
26	5.385168109
27	5.227187022
28	5.074060824
29	4.924635552
30	4.779783253
31	4.639724994
32	4.503278396
33	4.371271468
34	4.243641591
35	4.118635394
36	3.999076621
37	3.881557086
38	3.766688655
39	3.657287113
40	3.551133492
41	3.448258793
42	3.347773061
43	3.250966162
44	3.15650875
45	3.064852721
46	2.976850067
47	2.890337778
48	2.807505576
49	2.725372715
50	2.646013467
51	2.568980692
52	2.494891162
53	2.422644725
54	2.352692798
55	2.283960892
56	2.21827034
57	2.153690189
58	2.091819808
59	2.03156127
60	1.97308401
61	1.91674298
62	1.861926223
63	1.808695771
64	1.756955207
65	1.70720758
66	1.659024221
67	1.611749418
68	1.566005565
69	1.521863236
70	1.478792206
71	1.437201824
72	1.396889586
73	1.357939793
74	1.320130419
75	1.283593687
76	1.248046895
77	1.21385
78	1.180631375
79	1.148270236
80	1.11709141
81	1.086906271
82	1.056820456
83	1.028030573
84	1.000380846
85	0.9736615369
86	0.9478016513
87	0.9229046578
88	0.8984287582
89	0.8754876101
90	0.8525867223
91	0.829879743
92	0.808547361
93	0.7879574891
94	0.7677744807
95	0.7486358406
96	0.7300035626
97	0.7118890634
98	0.6944885084
99	0.6776433935
100	0.6609770631
101	0.6453300868
102	0.6298312569
103	0.6144821937
104	0.5998194868
105	0.5858331753
106	0.5726298124
107	0.5592814378
108	0.5463227504
109	0.5340294405
110	0.5216775819
111	0.5099256777
112	0.49869939
113	0.4881548899
114	0.4774978426
115	0.467559193
116	0.4582359469
117	0.4492594908
118	0.439573929
119	0.4306884592
120	0.4219143486
121	0.4133322449
122	0.4051351214
123	0.3970327133
124	0.3899370226
125	0.3827510561
126	0.3757060666
127	0.3696732059
128	0.3623893086
129	0.3564110388
130	0.3506936029
131	0.3446647677
132	0.338806606
133	0.3332499616
134	0.3275679811
135	0.3223380611
136	0.3174445399
137	0.3127902703
138	0.308165105
139	0.3038579702
140	0.2995010789
141	0.2955027906
142	0.2917229853
143	0.2881982786
144	0.2844650482
145	0.2815083326
146	0.2783980177
147	0.2750618038
148	0.2723336643
149	0.2697462283
150	0.2670134427
151	0.2641818041
152	0.2614670174
153	0.2590211545
154	0.2566540137
155	0.2542825775
156	0.2518880027
157	0.2494905265
158	0.2476447163
159	0.2456053261
160	0.2436542018
161	0.2412254306
162	0.239433179
163	0.2378280664
164	0.2363553681
165	0.2347824842
166	0.2328138814
167	0.2314321188
168	0.229797903
169	0.228446162
170	0.2272465812
171	0.2258709427
172	0.2244659464
173	0.2231075678
174	0.2218542778
175	0.2204459696
176	0.2189001498
177	0.2179217348
178	0.2169111795
179	0.2157142001
180	0.2146246673
181	0.2137554212
182	0.2129640052
183	0.2118929854
184	0.2110509085
185	0.2105188884
186	0.2098200402
187	0.2088719281
188	0.2080885207
189	0.2072228052
190	0.2066291692
191	0.2056830639
192	0.2049704338
193	0.2043732371
194	0.2036049544
195	0.2030601536
196	0.2019854202
197	0.2013269929
198	0.2007317136
199	0.1999791637
200	0.1993146808
201	0.1986892839
202	0.1982909404
203	0.1978044889
204	0.1972147154
205	0.1965965705
206	0.1960248737
207	0.1955282458
208	0.1949849725
209	0.1945716076
210	0.1940735931
211	0.1936924326
212	0.1931944652
213	0.1927897783
214	0.1924919236
215	0.1921647908
