iter	Passed	Remaining
0	24	24806
1	45	22488
2	67	22457
3	87	21897
4	109	21789
5	122	20371
6	132	18802
7	144	17976
8	154	17014
9	168	16672
10	184	16569
11	196	16199
12	208	15863
13	228	16070
14	245	16120
15	257	15862
16	269	15571
17	281	15374
18	296	15308
19	308	15111
20	320	14919
21	328	14615
22	338	14358
23	348	14177
24	359	14014
25	371	13907
26	379	13673
27	389	13529
28	402	13483
29	417	13493
30	430	13461
31	441	13360
32	452	13250
33	467	13276
34	484	13348
35	495	13262
36	506	13173
37	517	13101
38	523	12894
39	538	12914
40	552	12921
41	567	12942
42	578	12869
43	586	12750
44	595	12644
45	606	12582
46	615	12478
47	626	12420
48	637	12366
49	648	12326
50	658	12252
51	669	12210
52	680	12157
53	691	12105
54	699	12026
55	706	11903
56	724	11977
57	738	11987
58	751	11993
59	763	11957
60	772	11884
61	780	11814
62	791	11777
63	802	11736
64	813	11698
65	823	11656
66	836	11651
67	847	11614
68	857	11575
69	870	11565
70	881	11537
71	893	11520
72	902	11458
73	912	11423
74	925	11413
75	938	11404
76	950	11389
77	977	11550
78	992	11566
79	1008	11599
80	1023	11610
81	1037	11619
82	1055	11665
83	1072	11689
84	1086	11692
85	1097	11666
86	1109	11644
87	1118	11590
88	1129	11559
89	1139	11520
90	1150	11491
91	1161	11465
92	1172	11431
93	1182	11396
94	1193	11366
95	1205	11349
96	1222	11378
97	1234	11362
98	1243	11317
99	1251	11263
100	1262	11236
101	1272	11206
102	1283	11173
103	1291	11123
104	1301	11097
105	1314	11083
106	1329	11096
107	1343	11095
108	1356	11084
109	1367	11061
110	1376	11025
111	1387	10998
112	1397	10973
113	1408	10943
114	1421	10937
115	1435	10935
116	1448	10935
117	1467	10971
118	1479	10955
119	1490	10932
120	1501	10905
121	1511	10880
122	1522	10857
123	1538	10868
124	1551	10859
125	1562	10837
126	1571	10802
127	1583	10786
128	1594	10762
129	1605	10742
130	1614	10711
131	1625	10685
132	1636	10667
133	1648	10654
134	1663	10659
135	1677	10655
136	1688	10638
137	1704	10647
138	1721	10661
139	1732	10639
140	1742	10615
141	1753	10594
142	1763	10570
143	1772	10536
144	1783	10516
145	1792	10483
146	1803	10462
147	1815	10452
148	1827	10438
149	1838	10416
150	1848	10391
151	1857	10360
152	1865	10328
153	1876	10305
154	1884	10274
155	1895	10252
156	1905	10233
157	1916	10214
158	1921	10165
159	1933	10149
160	1947	10147
161	1965	10167
162	1975	10146
163	1987	10132
164	1999	10119
165	2011	10104
166	2019	10072
167	2028	10047
168	2039	10028
169	2050	10011
170	2059	9983
171	2071	9972
172	2083	9958
173	2094	9942
174	2105	9924
175	2115	9905
176	2126	9886
177	2137	9870
178	2150	9862
179	2161	9845
180	2174	9839
181	2188	9834
182	2204	9842
183	2215	9827
184	2226	9808
185	2236	9789
186	2246	9766
187	2258	9756
188	2270	9742
189	2279	9716
190	2289	9697
191	2300	9680
192	2310	9660
193	2320	9642
194	2331	9624
195	2345	9622
196	2359	9617
197	2373	9612
198	2382	9590
199	2391	9565
200	2400	9542
201	2412	9530
202	2420	9501
203	2429	9481
204	2452	9510
205	2465	9503
206	2476	9487
207	2487	9472
208	2495	9445
209	2506	9430
210	2517	9415
211	2526	9392
212	2537	9375
213	2547	9358
214	2558	9341
215	2569	9326
216	2580	9312
217	2595	9311
218	2609	9307
219	2622	9297
220	2634	9286
221	2646	9275
222	2657	9260
